qid	docid	relevance	ranking_1	ranking_2	ranking_3	ranking_4	ranking_5	ranking_6	ranking_7	ranking_8	ranking_9	ranking_10	ranking_11	ranking_12	ranking_13	ranking_14	ranking_15	ranking_16	ranking_17	ranking_18	ranking_19	ranking_20	ranking_21	ranking_22	ranking_23	ranking_24	ranking_25	ranking_1_rank	ranking_2_rank	ranking_3_rank	ranking_4_rank	ranking_5_rank	ranking_6_rank	ranking_7_rank	ranking_8_rank	ranking_9_rank	ranking_10_rank	ranking_11_rank	ranking_12_rank	ranking_13_rank	ranking_14_rank	ranking_15_rank	ranking_16_rank	ranking_17_rank	ranking_18_rank	ranking_19_rank	ranking_20_rank	ranking_21_rank	ranking_22_rank	ranking_23_rank	ranking_24_rank	ranking_25_rank	rrf	squared_rrf	mrrf
10032	GX029-17-16711721	0	1	2	122	0	0	0	0	0	0	155	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	4	3	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0.08041393337698204	2.423611111111111	0.26769889612085135
10032	GX029-35-5894638	2	6	96	88	0	0	297	0	287	301	90	290	0	0	143	193	8	0	0	68	0	54	264	0	0	0	3	1	2	0	0	3	0	2	3	2	2	0	0	3	1	3	0	0	3	0	2	2	0	0	0	0.22479917403238397	4.166666666666667	0.7469991653543935
10032	GX030-77-6315042	0	13	82	2	0	0	6	0	4	6	5	4	0	0	108	178	0	0	0	1	0	38	6	0	0	0	2	2	3	0	0	5	0	4	5	3	4	0	0	4	2	0	0	0	4	0	3	4	0	0	0	0.20490037516247195	1.475833333333333	0.6684296348172691
10032	GX140-98-13566007	0	0	0	0	0	0	352	0	371	353	0	368	0	0	0	0	0	44	123	0	1	0	353	138	0	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	2	1	0	1	0	1	1	0	0	0.1472765732416711	8.25	0.49869997200737154
10032	GX256-43-0740276	1	142	0	0	103	104	22	0	30	22	0	29	0	0	0	41	136	140	0	74	0	0	21	0	0	0	1	0	0	1	1	4	0	3	4	0	3	0	0	0	4	2	1	0	2	0	0	3	0	0	0	0.19232588262697994	5.020833333333334	0.6380496086006505
10032	GX266-75-11189217	0	0	0	0	67	70	337	0	0	338	0	0	0	0	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0.08038914490527393	1.1111111111111112	0.26745193614122675
10035	GX026-92-0492427	0	128	16	3	0	0	2	0	2	2	30	1	0	0	86	18	45	0	0	0	0	68	1	0	0	0	1	4	6	0	0	5	0	5	6	3	5	0	0	4	5	4	0	0	0	0	4	6	0	0	0	0.2017594654889737	1.6044444444444443	0.6482217967792357
10035	GX031-29-0590777	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	9	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0.04918032786885246	3.0	0.16682644612273395
10035	GX046-28-2590531	0	0	0	206	0	0	44	0	50	41	269	85	0	0	183	58	6	0	0	0	0	132	43	27	0	0	0	0	1	0	0	4	0	4	5	1	3	0	0	3	4	5	0	0	0	0	3	5	3	0	0	0.1893077948918113	2.7519444444444447	0.6182329491490428
10035	GX058-84-15460908	0	38	1	10	0	0	163	0	342	197	18	331	0	0	1	0	155	0	0	0	0	0	159	0	0	0	2	5	5	0	0	2	0	1	2	4	1	0	0	5	0	3	0	0	0	0	0	3	0	0	0	0.17469885991997308	3.1547222222222224	0.5744176634713901
10035	GX072-27-16566993	0	0	184	178	0	0	100	0	225	117	0	219	42	0	251	72	171	0	0	0	0	158	114	54	0	0	0	2	3	0	0	3	0	2	4	0	2	2	0	2	3	2	0	0	0	0	2	4	2	0	0	0.20790130568356374	2.4583333333333335	0.6880733649127794
10035	GX187-61-14052950	0	0	140	137	0	0	0	0	0	306	0	0	1	0	334	255	0	0	0	0	0	0	0	1	0	0	0	3	4	0	0	0	0	0	1	0	0	3	0	1	1	0	0	0	0	0	0	0	4	0	0	0.11217635961488422	3.3472222222222223	0.37213007884062954
10035	GX259-93-1304063	0	0	0	0	0	0	235	0	0	0	189	0	76	0	0	0	0	168	2	136	0	0	241	102	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1	1	1	0	0	2	1	0	0	0.13061872025383398	6.5	0.4413117902722965
10035	GX271-73-0262448	0	0	193	182	0	0	0	0	65	162	0	47	0	0	0	220	178	0	0	0	0	217	277	0	0	0	0	1	2	0	0	0	0	3	3	0	4	0	0	0	2	1	0	0	0	0	1	1	0	0	0	0.14520286675396407	4.784722222222222	0.48488011597032477
10036	GX004-58-2379388	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	14	14	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0.04918032786885246	3.0	0.16682644612273395
10036	GX026-91-0752750	0	0	0	0	0	0	144	0	140	142	257	146	0	0	0	0	0	0	0	0	1	0	130	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0.11475409836065574	7.0	0.38926170761971257
10036	GX030-76-8940205	1	1	2	3	58	56	85	103	103	41	255	86	3	0	3	17	0	0	0	0	0	3	116	3	0	0	2	3	2	1	1	3	1	3	6	2	3	1	0	4	3	0	0	0	0	0	1	2	1	0	0	0.2730183792865575	7.645833333333334	0.9076614529807037
10036	GX033-48-15177030	1	0	0	0	36	37	131	0	117	136	0	134	0	0	270	0	0	0	0	0	0	0	83	0	0	0	0	0	0	2	2	2	0	2	2	0	2	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0.1287926361713379	2.5625	0.4291031857261082
10036	GX038-50-12242635	0	0	0	0	0	0	59	0	64	46	178	59	0	0	143	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	5	0	5	5	3	5	0	0	2	0	0	0	0	0	0	0	5	0	0	0	0.10892512505415732	0.5611111111111111	0.3508398044945514
10036	GX051-80-1956661	1	3	4	2	13	11	45	102	49	57	145	46	1	0	1	7	15	0	0	0	0	1	18	1	0	0	1	2	3	3	4	6	2	6	3	5	6	2	0	5	4	1	0	0	0	0	2	6	2	0	0	0.2836763855305632	3.8994444444444447	0.9257626866678601
10036	GX253-71-1712302	0	0	6	113	4	13	16	0	14	11	167	16	0	0	18	123	1	0	0	0	0	0	5	0	0	0	0	1	1	4	3	7	0	7	7	4	7	0	0	3	1	2	0	0	0	0	0	7	0	0	0	0.20293225754459054	3.699263038548753	0.6564344688292771
10036	GX263-77-2918505	0	0	0	0	0	0	80	0	67	52	34	81	0	0	0	119	0	118	117	55	0	0	98	0	0	0	0	0	0	0	0	4	0	4	4	6	4	0	0	0	2	0	1	1	1	0	0	3	0	0	0	0.15883389115144803	3.638888888888889	0.5223631282815819
10050	GX005-79-12987050	0	22	8	4	0	0	16	0	69	198	14	54	0	0	9	10	1	0	0	6	0	5	19	1	0	0	1	4	4	0	0	1	0	1	1	5	1	0	0	5	4	5	0	0	2	0	5	2	4	0	0	0.2382637391693447	5.91	0.7836746522984178
10050	GX012-00-14776414	0	0	107	129	154	149	2	0	2	13	73	2	0	0	15	13	8	38	177	84	0	106	2	12	0	0	0	1	1	2	1	3	0	4	4	4	4	0	0	4	3	4	2	1	1	0	1	4	2	0	0	0.2878687842579303	7.409722222222222	0.9530332533604964
10050	GX012-24-11313254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0.015873015873015872	0.1111111111111111	0.052134140087569766
10050	GX054-01-12862186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0.016129032258064516	0.25	0.05382944901341426
10050	GX054-03-7475558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0.03278688524590164	2.0	0.11121763074848931
10050	GX215-55-6941556	0	0	34	6	0	0	0	0	0	0	386	0	1	0	250	0	240	0	0	0	0	0	0	5	0	0	0	2	3	0	0	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	3	0	0	0.11318442413101325	3.7222222222222223	0.37875362432470205
10050	GX230-65-14427981	0	0	0	0	0	0	0	0	52	130	106	52	0	0	336	295	47	0	0	0	0	94	276	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	0	1	1	2	0	0	0	0	2	1	0	0	0	0.14595452141723958	4.5	0.4898031402032195
10050	GX264-67-3123911	0	0	25	27	160	0	6	0	6	43	76	7	0	0	20	113	36	251	171	2	0	42	4	83	0	0	0	3	2	1	0	2	0	3	3	3	3	0	0	3	2	3	1	2	3	0	4	3	1	0	0	0.27217859975825337	5.0625	0.901869179235897
10056	GX000-03-7721182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0.015151515151515152	0.027777777777777776	0.04750238797235179
10056	GX001-20-2991462	2	0	21	42	103	125	8	0	8	8	44	10	1	0	18	7	13	10	4	19	0	16	6	1	0	0	0	2	4	2	2	7	0	7	7	5	6	5	0	7	11	5	5	3	6	0	7	7	6	0	0	0.2905148654884401	1.2976578868461985	0.9201657197768933
10056	GX002-91-6093726	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0.016129032258064516	0.25	0.05382944901341426
10056	GX004-37-11235977	1	0	33	59	0	0	19	0	22	16	40	27	0	0	48	25	24	44	138	32	0	9	23	0	0	0	0	1	3	0	0	5	0	5	5	6	4	0	0	5	7	2	4	1	3	0	8	4	0	0	0	0.23385818142724416	2.883533163265306	0.7551159591208785
10056	GX012-07-6597432	2	25	10	20	76	115	5	0	5	5	16	5	0	0	8	2	22	77	1	4	0	4	5	0	0	0	3	4	6	3	3	8	0	8	8	8	8	0	0	10	12	4	3	4	7	0	9	8	0	0	0	0.27134660269334565	0.8031705089443184	0.8477876932465733
10056	GX106-64-0336730	0	1	0	0	0	0	0	0	0	0	0	0	0	0	87	0	205	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0.04765107388058208	1.1511111111111112	0.15671819854052788
10056	GX142-64-2472087	1	0	17	34	0	0	23	0	30	11	78	30	14	0	52	51	0	0	0	28	0	162	25	17	0	0	0	3	5	0	0	4	0	3	6	2	3	2	0	4	6	0	0	0	4	0	1	3	2	0	0	0.22083524857685355	2.4775	0.7211667706023176
10056	GX161-43-7991020	0	58	9	10	0	0	18	0	29	222	4	24	0	0	14	19	1	0	0	33	0	80	21	10	0	0	1	5	7	0	0	6	0	4	2	10	5	0	0	9	8	6	0	0	2	0	2	5	4	0	0	0.23089713925019306	2.1089343978332074	0.736597425806105
10056	GX169-00-10359237	1	18	0	1	108	144	47	0	10	188	18	8	4	0	17	55	0	0	0	2	0	55	137	5	0	0	4	0	9	1	1	2	0	6	3	7	7	4	0	8	5	0	0	0	8	0	4	2	5	0	0	0.24746897615351995	2.990800894431847	0.793166534086382
10056	GX207-04-13100446	1	45	0	5	30	41	2	0	2	3	11	2	9	0	21	18	0	0	0	1	0	22	4	11	0	0	2	0	8	6	5	10	0	10	9	9	10	3	0	6	9	0	0	0	9	0	6	9	3	0	0	0.23874101816928317	0.702908950617284	0.7383230290575176
10056	GX239-68-0758843	0	0	0	101	0	0	28	0	54	18	63	48	0	0	230	243	0	0	0	194	0	56	20	0	0	0	0	0	1	0	0	3	0	2	4	3	2	0	0	1	4	0	0	0	1	0	3	6	0	0	0	0.17545895515554427	3.986111111111111	0.5794255049273797
10056	GX242-43-14427255	1	0	0	84	8	7	3	0	3	2	50	3	19	0	94	15	23	199	6	27	0	44	2	23	0	0	0	0	2	7	7	9	0	9	10	4	9	1	0	2	10	3	2	2	5	0	5	10	1	0	0	0.2757564109157712	3.36146447467876	0.8763982924651799
10056	GX257-67-3786382	0	0	0	0	59	20	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0.04690554740957967	0.3402777777777778	0.15184951325714408
10056	GX266-48-5655204	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	119	109	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0.04918032786885246	3.0	0.16682644612273395
10056	GX267-77-11931487	0	0	0	0	36	44	0	0	0	0	0	0	0	0	0	366	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.04740305800756621	1.1025	0.15510173472433614
10056	GX269-54-9167409	0	0	0	0	1	1	330	0	171	348	307	84	0	0	0	324	0	222	0	0	0	0	370	0	0	0	0	0	0	8	8	1	0	1	1	1	1	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0.16003887893955396	7.142361111111111	0.5308942914821805
10066	GX000-00-0000000	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0.06557377049180328	4.0	0.22243526149697862
10066	GX000-08-0055134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	372	0	1	315	242	0	0	0	233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	7	3	4	0	0	0	1	0	0	0.09483527425324587	2.256519274376417	0.31048211157386174
10066	GX005-04-1458789	0	194	132	186	66	66	108	0	108	108	195	108	0	0	205	106	136	19	111	209	0	0	132	0	0	0	1	2	2	1	1	4	0	4	4	5	4	0	0	6	6	4	6	5	6	0	0	4	0	0	0	0.2665636837602729	4.066111111111111	0.8655514398246646
10066	GX034-19-14634306	0	0	0	0	0	0	313	0	313	313	280	313	0	0	278	326	210	128	30	287	0	0	254	0	0	0	0	0	0	0	0	2	0	2	2	3	2	0	0	3	3	2	5	6	3	0	0	3	0	0	0	0.19054637119153248	1.8733333333333335	0.6262955765559854
10066	GX083-05-15292522	1	21	23	23	0	0	75	0	75	75	19	75	0	0	13	345	25	257	316	8	0	2	77	64	0	0	3	3	3	0	0	6	0	6	6	6	6	0	0	7	2	6	4	2	7	0	1	6	3	0	0	0.2636799229604061	2.242205215419501	0.8470286422192861
10066	GX194-16-10736442	0	0	0	0	49	49	210	0	210	210	292	210	0	0	338	190	202	299	362	358	0	0	299	0	0	0	0	0	0	2	2	3	0	3	3	2	3	0	0	2	5	3	3	1	1	0	0	2	0	0	0	0.22405475715893486	3.956666666666667	0.7421449594196927
10066	GX233-47-6223554	0	100	181	232	1	1	104	0	104	104	241	104	0	0	221	17	123	338	155	217	0	0	83	128	0	0	2	1	1	3	3	5	0	5	5	4	5	0	0	5	7	5	2	4	5	0	0	5	2	0	0	0.2821723099773784	3.4376303854875285	0.915906543331382
10066	GX266-44-5485513	0	0	0	0	0	0	365	0	365	365	336	365	0	0	362	315	270	403	1	330	0	0	302	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	1	4	1	1	7	2	0	0	1	0	0	0	0.19422038899895028	9.332908163265305	0.6509214518480408
10078	GX000-00-5767205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	1	0	0	0	0.02681010928961749	1.0007716049382716	0.07806111593930155
10078	GX000-09-4582602	0	0	0	0	0	0	269	0	266	0	0	269	0	0	337	0	0	2	0	280	0	231	302	0	0	0	0	0	0	0	0	10	0	13	0	0	10	0	0	1	0	0	35	0	15	0	1	8	0	0	0	0.1136224754300647	2.04680293073837	0.3389666012297803
10078	GX000-52-14430032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0.010638297872340425	0.0008650519031141869	0.023417881621498913
10078	GX000-65-8401972	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	10	10	0.04327731092436975	0.035625000000000004	0.12920652882931205
10078	GX001-01-12437514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	6	0	394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	33	0	3	0	0	0	0	0	0	0.04249871991807476	0.22314049586776857	0.12819247973665698
10078	GX001-04-1725899	0	1	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0.029513888888888888	0.06944444444444445	0.09043287727592363
10078	GX001-16-6479947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	6	0	0	0	0	0	0	0.026021080368906456	0.028754340277777776	0.07194950541180883
10078	GX001-59-12114420	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	8	0	390	0	0	355	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	31	0	4	0	0	2	0	0	0	0.05702875753278979	0.32354058272632674	0.17156314767343475
10078	GX001-72-16081737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0.015151515151515152	0.027777777777777776	0.04750238797235179
10078	GX002-93-11594921	0	0	107	47	0	0	0	0	0	0	75	0	0	0	169	0	268	0	0	0	0	0	0	0	0	0	0	14	20	0	0	0	0	0	0	30	0	0	0	22	0	1	0	0	0	0	0	0	0	0	0	0.06571318919879496	1.010779267629917	0.18204604485188303
10078	GX002-94-15477073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	14	0.02702702702702703	0.01020408163265306	0.07557355807434785
10078	GX003-50-9557781	0	0	119	0	0	0	250	0	294	267	156	250	0	0	94	188	0	14	0	398	0	110	258	0	0	0	0	9	0	0	0	12	0	9	5	19	12	0	0	34	15	0	30	0	2	0	13	12	0	0	0	0.1636054218575958	0.35063254168250113	0.46720697041689946
10078	GX003-53-14330727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0.03076923076923077	0.08	0.09795048615742694
10078	GX004-71-10257093	0	0	15	19	0	0	6	0	18	176	19	6	0	0	63	106	0	21	0	16	0	0	8	0	0	0	0	33	25	0	0	52	0	44	16	41	52	0	0	37	29	0	29	0	47	0	0	48	0	0	0	0.12443504847743306	0.012270884317566365	0.2708453874598702
10078	GX005-53-7705683	0	0	90	129	0	0	284	0	304	0	117	284	0	0	254	169	0	0	0	218	0	73	279	0	0	0	0	17	7	0	0	9	0	8	0	23	9	0	0	9	19	0	0	0	17	0	21	11	0	0	0	0.15022014900464553	0.09518309430405417	0.42680504684695897
10078	GX006-26-15084992	0	0	195	0	130	0	39	0	9	111	259	39	0	0	0	191	0	26	0	185	0	0	14	0	0	0	0	2	0	1	0	40	0	51	21	8	40	0	0	0	14	0	28	0	19	0	0	44	0	0	0	0.13573380759594694	1.2791912042571616	0.3606964614206275
10078	GX006-61-3433503	0	0	26	32	0	0	20	0	52	234	46	20	0	0	107	0	0	27	0	44	0	0	30	0	0	0	0	27	22	0	0	45	0	40	12	35	45	0	0	32	0	0	27	0	38	0	0	39	0	0	0	0.11982110837538204	0.01650957069503639	0.2736249775582047
10078	GX007-00-14502655	0	90	1	8	0	0	90	0	110	277	1	90	0	0	87	96	18	0	0	13	0	18	87	0	0	0	5	40	32	0	0	34	0	35	2	49	34	0	0	35	31	30	0	0	48	0	25	32	0	0	0	0.15788040456943053	0.3005430966105319	0.37941043230855953
10078	GX007-98-2992070	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0.028021349599695006	1.0014792899408285	0.08358615474790128
10078	GX009-62-4251607	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0.025326537113730486	0.0073964497041420114	0.0668064634133572
10078	GX010-08-7608316	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	61	67	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	3	0.047619047619047616	0.3333333333333333	0.15640242026270929
10078	GX012-36-1215940	0	0	0	0	0	0	291	0	0	0	0	291	0	0	0	0	0	0	1	0	0	0	331	0	0	0	0	0	0	0	0	8	0	0	0	0	8	0	0	0	0	0	0	12	0	0	0	5	0	0	0	0.058685268979386626	0.07819444444444444	0.17838888785815715
10078	GX012-50-0630064	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0.03131881575727918	1.0204081632653061	0.1017038035692913
10078	GX012-68-9031179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	8	0	0	0	0	0	0	0	0.028991596638655463	0.025625000000000002	0.08697787535838056
10078	GX013-00-12872952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	4	0	0	0	0	0	0	0	0.029709507042253523	0.07076446280991736	0.0915651672468917
10078	GX013-32-11054737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	6	0	0	0	0	0	0	0	0.03007688828584351	0.048185941043083894	0.09359737616739844
10078	GX013-50-13355066	0	0	145	0	0	0	305	0	332	0	299	305	0	0	16	0	0	0	0	286	0	0	298	45	0	0	0	6	0	0	0	7	0	3	0	5	7	0	0	43	0	0	0	0	13	0	0	9	8	0	0	0.12886589665499668	0.25413388707779966	0.38734586801533244
10078	GX015-38-4905626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	13	0.0273972602739726	0.011834319526627219	0.07765824807940117
10078	GX015-42-0366901	0	0	63	105	0	0	171	0	143	254	93	171	0	0	243	142	77	0	0	153	0	182	190	0	0	0	0	20	9	0	0	23	0	28	7	27	23	0	0	10	22	18	0	0	23	0	4	16	0	0	0	0.16900483810225808	0.12513095755450793	0.4594093526072695
