qid	docid	relevance	ranking_1	ranking_2	ranking_3	ranking_4	ranking_5	ranking_6	ranking_7	ranking_8	ranking_9	ranking_10	ranking_11	ranking_12	ranking_13	ranking_14	ranking_15	ranking_16	ranking_17	ranking_18	ranking_19	ranking_20	ranking_21	ranking_22	ranking_23	ranking_24	ranking_25
10035	GX072-27-16566993	0	0	184	178	0	0	100	0	225	117	0	219	42	0	251	72	171	0	0	0	0	158	114	54	0	0
10035	GX187-61-14052950	0	0	140	137	0	0	0	0	0	306	0	0	1	0	334	255	0	0	0	0	0	0	0	1	0	0
10035	GX259-93-1304063	0	0	0	0	0	0	235	0	0	0	189	0	76	0	0	0	0	168	2	136	0	0	241	102	0	0
10035	GX271-73-0262448	0	0	193	182	0	0	0	0	65	162	0	47	0	0	0	220	178	0	0	0	0	217	277	0	0	0
10036	GX004-58-2379388	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	14	14
10036	GX026-91-0752750	0	0	0	0	0	0	144	0	140	142	257	146	0	0	0	0	0	0	0	0	1	0	130	0	0	0
10036	GX030-76-8940205	1	1	2	3	58	56	85	103	103	41	255	86	3	0	3	17	0	0	0	0	0	3	116	3	0	0
10036	GX033-48-15177030	1	0	0	0	36	37	131	0	117	136	0	134	0	0	270	0	0	0	0	0	0	0	83	0	0	0
10036	GX038-50-12242635	0	0	0	0	0	0	59	0	64	46	178	59	0	0	143	0	0	0	0	0	0	0	78	0	0	0
10036	GX051-80-1956661	1	3	4	2	13	11	45	102	49	57	145	46	1	0	1	7	15	0	0	0	0	1	18	1	0	0
10036	GX253-71-1712302	0	0	6	113	4	13	16	0	14	11	167	16	0	0	18	123	1	0	0	0	0	0	5	0	0	0
10036	GX263-77-2918505	0	0	0	0	0	0	80	0	67	52	34	81	0	0	0	119	0	118	117	55	0	0	98	0	0	0
10050	GX005-79-12987050	0	22	8	4	0	0	16	0	69	198	14	54	0	0	9	10	1	0	0	6	0	5	19	1	0	0
10050	GX012-00-14776414	0	0	107	129	154	149	2	0	2	13	73	2	0	0	15	13	8	38	177	84	0	106	2	12	0	0
10050	GX012-24-11313254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0
10050	GX054-01-12862186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
10050	GX054-03-7475558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	18
10050	GX215-55-6941556	0	0	34	6	0	0	0	0	0	0	386	0	1	0	250	0	240	0	0	0	0	0	0	5	0	0
10050	GX230-65-14427981	0	0	0	0	0	0	0	0	52	130	106	52	0	0	336	295	47	0	0	0	0	94	276	0	0	0
10050	GX264-67-3123911	0	0	25	27	160	0	6	0	6	43	76	7	0	0	20	113	36	251	171	2	0	42	4	83	0	0
10056	GX000-03-7721182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
10056	GX001-20-2991462	2	0	21	42	103	125	8	0	8	8	44	10	1	0	18	7	13	10	4	19	0	16	6	1	0	0
10056	GX002-91-6093726	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
10056	GX004-37-11235977	1	0	33	59	0	0	19	0	22	16	40	27	0	0	48	25	24	44	138	32	0	9	23	0	0	0
10056	GX012-07-6597432	2	25	10	20	76	115	5	0	5	5	16	5	0	0	8	2	22	77	1	4	0	4	5	0	0	0
10056	GX106-64-0336730	0	1	0	0	0	0	0	0	0	0	0	0	0	0	87	0	205	0	0	0	0	0	0	0	0	0
10056	GX142-64-2472087	1	0	17	34	0	0	23	0	30	11	78	30	14	0	52	51	0	0	0	28	0	162	25	17	0	0
10056	GX161-43-7991020	0	58	9	10	0	0	18	0	29	222	4	24	0	0	14	19	1	0	0	33	0	80	21	10	0	0
10056	GX169-00-10359237	1	18	0	1	108	144	47	0	10	188	18	8	4	0	17	55	0	0	0	2	0	55	137	5	0	0
10056	GX207-04-13100446	1	45	0	5	30	41	2	0	2	3	11	2	9	0	21	18	0	0	0	1	0	22	4	11	0	0
10056	GX239-68-0758843	0	0	0	101	0	0	28	0	54	18	63	48	0	0	230	243	0	0	0	194	0	56	20	0	0	0
10056	GX242-43-14427255	1	0	0	84	8	7	3	0	3	2	50	3	19	0	94	15	23	199	6	27	0	44	2	23	0	0
10056	GX257-67-3786382	0	0	0	0	59	20	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	0	0	0
10056	GX266-48-5655204	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	119	109
10056	GX267-77-11931487	0	0	0	0	36	44	0	0	0	0	0	0	0	0	0	366	0	0	0	0	0	0	0	0	0	0
10056	GX269-54-9167409	0	0	0	0	1	1	330	0	171	348	307	84	0	0	0	324	0	222	0	0	0	0	370	0	0	0
10066	GX000-00-0000000	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1
10066	GX000-08-0055134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	372	0	1	315	242	0	0	0	233	0	0
10066	GX005-04-1458789	0	194	132	186	66	66	108	0	108	108	195	108	0	0	205	106	136	19	111	209	0	0	132	0	0	0
10066	GX034-19-14634306	0	0	0	0	0	0	313	0	313	313	280	313	0	0	278	326	210	128	30	287	0	0	254	0	0	0
10066	GX083-05-15292522	1	21	23	23	0	0	75	0	75	75	19	75	0	0	13	345	25	257	316	8	0	2	77	64	0	0
10066	GX194-16-10736442	0	0	0	0	49	49	210	0	210	210	292	210	0	0	338	190	202	299	362	358	0	0	299	0	0	0
10066	GX233-47-6223554	0	100	181	232	1	1	104	0	104	104	241	104	0	0	221	17	123	338	155	217	0	0	83	128	0	0
10066	GX266-44-5485513	0	0	0	0	0	0	365	0	365	365	336	365	0	0	362	315	270	403	1	330	0	0	302	0	0	0
10078	GX000-00-5767205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	376	0	0	0
10078	GX000-09-4582602	0	0	0	0	0	0	269	0	266	0	0	269	0	0	337	0	0	2	0	280	0	231	302	0	0	0
10078	GX000-52-14430032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
10078	GX000-65-8401972	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	16	13
10078	GX001-01-12437514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	322	0	6	0	394	0	0	0	0	0	0
10078	GX001-04-1725899	0	1	0	0	0	0	0	0	0	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0
10078	GX001-16-6479947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	379	0	0	0	0	0	0
10078	GX001-59-12114420	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	8	0	390	0	0	355	0	0	0
10078	GX001-72-16081737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
10078	GX002-93-11594921	0	0	107	47	0	0	0	0	0	0	75	0	0	0	169	0	268	0	0	0	0	0	0	0	0	0
10078	GX002-94-15477073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4
10078	GX003-50-9557781	0	0	119	0	0	0	250	0	294	267	156	250	0	0	94	188	0	14	0	398	0	110	258	0	0	0
10078	GX003-53-14330727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	44
10078	GX004-71-10257093	0	0	15	19	0	0	6	0	18	176	19	6	0	0	63	106	0	21	0	16	0	0	8	0	0	0
10078	GX005-53-7705683	0	0	90	129	0	0	284	0	304	0	117	284	0	0	254	169	0	0	0	218	0	73	279	0	0	0
10078	GX006-26-15084992	0	0	195	0	130	0	39	0	9	111	259	39	0	0	0	191	0	26	0	185	0	0	14	0	0	0
10078	GX006-61-3433503	0	0	26	32	0	0	20	0	52	234	46	20	0	0	107	0	0	27	0	44	0	0	30	0	0	0
10078	GX007-00-14502655	0	90	1	8	0	0	90	0	110	277	1	90	0	0	87	96	18	0	0	13	0	18	87	0	0	0
10078	GX007-98-2992070	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0
10078	GX009-62-4251607	0	0	0	0	0	0	0	0	0	0	232	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0
10078	GX010-08-7608316	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	61	67
10078	GX012-36-1215940	0	0	0	0	0	0	291	0	0	0	0	291	0	0	0	0	0	0	1	0	0	0	331	0	0	0
10078	GX012-50-0630064	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	6	0	0	0	0	0
10078	GX012-68-9031179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	0	14	0	0	0	0	0	0	0
10078	GX013-00-12872952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	208	0	0	24	0	0	0	0	0	0	0
10078	GX013-32-11054737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	17	0	0	0	0	0	0	0
10078	GX013-50-13355066	0	0	145	0	0	0	305	0	332	0	299	305	0	0	16	0	0	0	0	286	0	0	298	45	0	0
10078	GX015-38-4905626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	5
10078	GX015-42-0366901	0	0	63	105	0	0	171	0	143	254	93	171	0	0	243	142	77	0	0	153	0	182	190	0	0	0
10078	GX015-63-14268497	0	0	49	56	0	0	313	0	324	272	48	313	0	0	133	184	96	0	0	162	0	154	306	0	0	0
10078	GX015-71-12469202	0	0	0	0	0	0	0	0	374	243	328	0	85	0	0	0	0	0	0	358	0	0	0	87	0	0
10078	GX022-78-4740082	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	20	19
10078	GX027-50-5132942	0	4	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10078	GX029-43-10495880	0	0	177	177	0	0	236	0	199	0	338	236	0	0	318	75	0	55	0	194	0	0	251	0	0	0
10078	GX030-26-13691593	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	2
10078	GX030-32-15519997	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	73	79
10078	GX032-18-7401411	0	0	0	0	13	22	320	0	158	249	0	320	0	0	0	0	265	0	0	0	0	0	0	0	0	0
10078	GX034-44-4414772	0	0	19	57	0	0	12	0	15	169	37	12	4	0	239	53	0	62	0	46	0	192	16	3	0	0
10078	GX040-43-11666695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0
10078	GX041-11-5718316	0	109	77	88	22	41	4	0	4	5	113	4	0	0	233	9	11	71	0	12	0	0	15	0	0	0
10078	GX043-12-9917871	0	0	80	98	39	54	9	0	11	7	145	9	0	0	161	2	12	72	0	19	0	0	25	0	0	0
10078	GX044-44-6286297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
10078	GX045-49-3509280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	5	0	0	0	0	0	0	0
10078	GX047-04-8358355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	159	0	0	7	0	0	0	0	0	0	0
10078	GX047-80-13642631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	207	0	0	6	0	0	0	0	0	0	0
10078	GX048-02-13062270	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	68	74
10078	GX051-63-9747007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
10078	GX052-93-14975473	0	18	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	133	0	0
10078	GX053-05-4525099	0	21	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	141	0	0
10078	GX056-29-4230771	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	21	20
10078	GX056-62-16038786	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	51	53
10078	GX060-03-15100410	0	0	114	134	0	0	0	0	0	0	0	0	0	0	0	126	0	81	0	91	0	0	0	116	0	0
10078	GX060-29-11645579	0	0	18	17	111	139	7	0	12	102	15	7	0	0	115	82	8	0	0	10	0	181	4	4	0	0
10078	GX060-45-2701888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
10078	GX061-18-0743250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
10078	GX084-18-2732610	0	0	0	0	0	0	0	0	359	276	0	0	0	0	0	0	142	96	0	403	0	58	0	132	0	0
10078	GX085-71-4070954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0
10078	GX091-64-10833147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
10078	GX115-46-0485712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
10078	GX136-36-7221018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0
10078	GX140-36-3753769	0	0	24	21	0	0	0	0	0	0	22	0	3	0	124	303	117	0	0	169	0	0	0	2	0	0
10078	GX173-76-10639919	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	11	0	0
10078	GX228-32-10166026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	14
10078	GX230-23-8834831	0	0	98	103	0	0	190	0	235	0	63	190	0	0	32	107	0	0	0	27	0	107	203	0	0	0
10078	GX230-30-0044611	0	0	130	159	0	0	203	0	250	0	242	203	0	0	332	222	0	125	0	164	0	125	95	0	0	0
10078	GX230-31-8259197	0	0	0	0	0	0	35	0	5	20	281	35	0	0	336	0	154	127	0	62	0	0	84	0	0	0
10078	GX230-33-9386763	0	0	0	0	0	0	0	0	0	255	0	0	0	0	1	0	0	0	0	0	0	184	0	0	0	0
10078	GX230-59-15432355	0	0	0	0	18	29	0	0	268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10078	GX231-41-0398694	0	0	0	0	0	0	327	0	310	192	102	327	0	0	14	85	0	0	0	54	0	168	310	0	0	0
10078	GX231-83-7677319	0	0	0	0	0	0	208	0	188	170	358	208	0	0	2	127	0	143	0	281	0	109	173	0	0	0
10078	GX233-70-12782988	0	0	203	0	0	0	241	0	173	84	198	241	0	0	0	220	162	159	0	291	0	16	180	0	0	0
10078	GX233-83-5904295	0	0	0	0	21	40	0	0	329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10078	GX234-97-9911916	0	0	0	0	6	11	56	0	0	0	0	56	0	0	0	0	152	0	0	311	0	0	281	0	0	0
10078	GX235-75-10257969	0	0	2	1	105	135	3	0	3	6	10	3	0	0	43	16	7	0	0	1	0	1	3	0	0	0
10078	GX238-48-8178496	0	107	10	9	0	0	17	0	22	182	11	17	0	0	114	42	10	0	0	8	0	14	17	0	0	0
10078	GX238-59-3232972	0	0	52	64	0	0	43	0	126	0	130	43	0	0	224	174	46	191	0	41	0	105	58	0	0	0
10078	GX239-86-1515233	0	0	33	31	0	0	137	0	186	0	77	137	0	0	196	68	41	0	0	45	0	31	143	0	0	0
10078	GX240-16-4427216	0	0	12	12	0	0	163	0	216	0	20	163	0	0	112	103	24	194	0	25	0	9	139	0	0	0
10078	GX240-32-16624593	0	0	99	116	0	0	121	0	202	0	222	121	0	0	0	0	0	195	0	96	0	0	162	0	0	0
10078	GX240-33-5814723	0	0	16	15	0	0	183	0	244	0	23	183	0	0	116	110	30	0	0	26	0	7	168	0	0	0
10078	GX240-38-5869932	0	0	17	16	0	0	182	0	245	0	27	182	0	0	119	132	33	0	0	28	0	8	182	0	0	0
10078	GX241-72-14359229	0	0	0	0	0	0	125	0	96	42	245	125	0	0	0	0	0	197	123	63	0	0	88	0	0	0
10078	GX241-94-7618747	0	0	0	0	0	0	222	0	283	0	140	222	0	0	173	313	0	198	0	131	0	80	116	0	0	0
10078	GX243-47-8828155	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	242	0	0	0	0	0	0	0	0	0
10078	GX243-52-3161942	0	0	0	0	0	0	221	0	320	0	309	221	0	0	193	0	236	201	0	261	0	97	175	0	0	0
10078	GX243-73-3610505	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	226	0	0	386	0	0	0	0	0	0
10078	GX247-14-9408784	0	14	7	5	0	0	15	0	16	154	6	15	0	0	51	32	4	0	0	7	0	2	13	0	0	0
10078	GX247-47-13015537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	10
10078	GX248-00-8498191	0	15	8	6	0	0	13	0	10	148	3	13	0	0	52	26	6	0	0	6	0	4	9	0	0	0
10078	GX248-40-5127675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	4	88	210	18	0	0	0	0	0	0	0
10078	GX248-43-12986758	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1
10078	GX249-62-9750706	0	0	32	82	0	0	29	0	56	239	60	29	0	0	184	74	62	0	0	77	0	91	43	0	0	0
10078	GX249-81-2359803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	12
10078	GX251-29-0995699	0	0	118	50	0	0	0	0	0	0	18	0	0	0	72	0	0	0	0	329	0	0	0	0	0	0
10078	GX251-43-4591137	0	0	117	138	118	0	33	0	114	0	187	33	0	0	329	18	54	0	0	98	0	0	2	0	0	0
10078	GX252-41-8136932	0	0	0	0	47	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10078	GX253-97-12198295	1	0	0	0	0	0	359	0	207	78	0	359	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10078	GX254-16-4155762	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0
10078	GX254-22-2761308	0	0	0	0	116	57	103	0	51	2	0	103	0	0	0	310	0	220	107	372	0	0	138	0	0	0
10078	GX254-43-16248664	0	0	0	0	68	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10078	GX254-48-3260216	0	0	0	0	0	0	81	0	72	9	258	81	0	0	0	84	137	221	0	109	0	0	71	0	0	0
10078	GX257-69-4828096	0	0	0	0	15	24	60	0	81	14	0	60	0	0	0	33	133	225	0	325	0	0	42	0	0	0
10078	GX258-11-5816336	0	0	0	0	9	15	0	0	0	0	0	0	0	0	0	325	0	0	0	0	0	0	0	0	0	0
10078	GX260-52-5460217	0	0	0	0	16	26	330	0	0	0	0	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10078	GX263-48-11160731	0	0	0	0	1	1	265	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10078	GX263-71-6210143	0	0	0	0	0	0	70	0	41	15	288	70	0	0	305	336	177	232	0	97	0	139	10	0	0	0
10078	GX263-87-9971827	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	39	41
10078	GX266-12-3088906	0	0	47	45	0	0	131	0	137	108	61	131	0	0	113	0	32	0	0	36	0	84	147	0	0	0
10078	GX266-39-15659600	0	0	54	75	0	0	31	0	13	22	82	31	0	0	207	140	21	242	0	33	0	180	41	0	0	0
10078	GX266-44-3544643	0	0	0	0	4	3	107	0	287	0	0	107	0	0	0	0	258	0	0	0	0	0	346	0	0	0
10078	GX266-76-5261768	0	0	0	0	10	4	181	0	264	0	0	181	0	0	0	0	0	0	0	0	0	0	349	0	0	0
10078	GX268-33-6193316	0	122	113	174	0	0	93	0	131	250	159	93	94	0	186	11	65	248	51	144	0	134	117	98	0	0
10078	GX268-59-2083445	0	0	182	81	0	0	0	0	0	0	101	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0
10078	GX269-47-0755600	0	0	0	0	0	0	127	0	120	67	0	127	0	0	0	175	246	0	0	0	0	0	199	0	0	0
10078	GX270-17-12853433	0	103	9	10	11	13	1	0	1	53	9	1	0	0	60	28	1	252	0	4	0	159	1	0	0	0
10078	GX270-23-1376839	0	0	0	0	128	128	369	0	256	63	0	369	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10078	GX270-82-9015425	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10078	GX271-29-5476483	0	0	123	143	0	0	144	0	115	180	165	144	0	0	210	143	61	256	0	80	0	22	102	135	0	0
10083	GX000-20-13937544	0	0	0	0	168	0	311	0	258	291	231	310	0	0	0	174	0	1	159	212	0	0	234	0	0	0
10083	GX000-77-2463792	0	0	0	0	67	114	63	0	153	239	117	61	0	0	0	98	0	5	61	121	0	0	70	0	0	0
10083	GX002-51-9932648	0	0	0	0	137	0	64	0	76	93	85	60	0	0	254	75	33	16	45	51	0	0	50	0	0	0
10083	GX002-92-14096032	0	0	0	0	5	1	244	111	244	88	223	248	0	0	129	39	150	17	155	122	0	0	363	0	0	0
10083	GX031-59-12961673	0	0	0	0	20	45	392	0	288	205	247	389	0	0	0	0	0	79	194	229	0	0	412	140	0	0
10083	GX060-84-15916654	0	10	147	115	74	54	236	0	222	139	0	230	106	0	91	85	123	0	0	0	0	112	238	101	0	0
10083	GX061-58-11290106	0	9	148	118	126	110	266	0	242	150	375	263	88	0	62	122	121	0	0	0	0	113	283	85	0	0
10083	GX063-67-14026336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	0	0	0	0	5	5
10083	GX078-43-7047520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
10083	GX102-25-4251334	0	82	5	8	12	29	1	103	1	1	10	1	3	0	7	7	5	130	18	3	0	46	1	3	0	0
10083	GX148-67-2306663	0	0	4	1	0	0	100	0	104	149	3	95	0	0	0	0	24	148	232	17	0	0	110	0	0	0
10083	GX148-71-1623742	0	1	21	28	0	0	396	0	393	389	243	385	0	0	0	0	158	0	0	0	0	0	392	0	0	0
10083	GX171-28-6374415	0	139	17	16	0	0	4	0	4	6	9	4	15	0	4	3	3	152	172	15	0	106	5	13	0	0
10083	GX211-52-7077621	0	16	25	27	119	103	221	0	228	262	269	213	29	0	50	154	77	0	0	0	0	1	230	24	0	0
10083	GX250-84-12430824	0	0	27	0	95	116	12	0	12	21	31	12	0	0	112	31	20	198	108	26	0	0	8	0	0	0
10083	GX257-20-6411096	0	0	0	0	0	0	20	0	26	67	0	0	0	0	0	0	0	205	214	111	0	0	23	0	0	0
10105	GX000-58-1184657	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
10105	GX000-79-12709651	0	0	0	0	0	0	390	0	397	394	0	392	0	0	0	0	0	0	0	0	1	0	391	0	0	0
10105	GX005-32-6186157	2	0	5	27	0	0	406	0	0	412	327	0	0	0	17	0	101	0	0	0	0	0	413	0	0	0
10105	GX009-78-0836187	0	0	47	59	0	0	312	0	251	354	186	249	0	0	25	331	163	0	0	0	0	66	274	0	0	0
10105	GX012-01-9109195	0	0	38	4	0	0	333	0	269	407	1	278	0	0	82	0	31	0	0	0	0	0	265	112	0	0
10105	GX019-30-15913834	2	0	0	0	102	160	240	0	308	226	268	306	0	0	297	103	131	35	1	118	0	0	246	0	0	0
10105	GX068-38-7937281	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10105	GX268-70-9577863	0	0	0	0	16	1	98	0	138	113	136	133	0	0	0	316	0	0	0	0	0	0	129	0	0	0
10108	GX003-74-12433332	1	0	0	0	178	116	299	0	16	1	0	299	0	0	32	4	0	0	0	0	0	247	394	0	0	0
10108	GX023-91-5410820	0	0	11	30	0	0	11	0	22	25	6	11	0	0	1	217	0	38	112	5	0	84	7	23	0	0
10108	GX031-19-16095168	0	22	6	5	96	178	2	0	53	163	11	2	0	0	20	269	5	44	26	8	0	25	1	0	0	0
10108	GX034-07-4725670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
